TikTok User Statistics
Username,camihawke
Nickname,camihawke
Country,
Follower Count,460600
Heart Count,13800000
Video Count,263
Following Count,168
Likes Rate,10.51%
Comments Rate,0.05%
Shares Rate,0.51%
Total Engagement Rate,11.07%
Earnings Min,$358.11
Earnings Max,$562.75
Average Views,4927693
Average Likes,518078
Average Comments,2653
Average Shares,25107
,
Videos
Date,Plays,Likes,Comments,Shares,Description
6/30/2025, 4:41:50 PM,1100000,74900,1148,3102,""
4/6/2023, 2:30:39 PM,43500000,3200000,7298,223000,""
11/22/2022, 6:18:00 PM,26200000,4300000,29600,137900,""
11/10/2025, 7:41:19 PM,95300,6711,38,320,""
10/31/2025, 4:16:35 PM,42800,2030,15,13,""
10/27/2025, 11:33:18 AM,480500,45200,474,4865,""
10/10/2025, 11:31:09 AM,63200,3130,29,90,""
9/29/2025, 4:27:24 PM,254500,11300,47,159,""
9/26/2025, 11:59:54 AM,269800,13000,96,1636,""
9/25/2025, 5:03:18 PM,610600,57200,213,1568,""
9/18/2025, 7:38:34 PM,156500,5554,32,59,""
9/12/2025, 5:00:46 PM,241400,11700,538,2594,"%23thesummeriturnedpretty "
9/3/2025, 3:10:29 PM,512600,24000,167,1014,""
8/28/2025, 3:12:23 PM,288800,13500,92,253,""
8/27/2025, 5:51:34 PM,99400,2953,22,38,"Day2 %23dolomiti "
,
Mentions
,
Hashtags
dolomiti,1
thesummeriturnedpretty,1
