TikTok User Statistics
Username,samuelbooks
Nickname,samuelbooks
9/26/2025, 11:40:08 AM,914,77,3,3,"📚 Torniamo a parlare di libri!  📚 Nuovi arrivi e nuovi acquisti: un piccolo punto sulla situazione libri arrivati a casa. Nuove uscite interessanti, recuperi di romanzi e saggi che mi suscitano un particolare interesse. 📚 Voi cosa avete acquistato di recente?  - - - %23libri %23booktok %23leggere %23consiglidilettura @L'orma editore @Edizioni di Atlantide @PrehistoricaLetteraturaFrances @Adelphi Edizioni @Il Saggiatore Casa Editrice "
9/24/2025, 2:21:16 PM,2080,128,7,5,"Booktok, come si fa? %23booktok "
9/18/2025, 2:45:41 PM,8694,746,19,9,"Scherzo, ho letto due libri.  Ps: Vi lancio i miei due cents sulla questione. Le persone usano questo schema di demolizione dell’altro per poter emergere, per farsi vedere più “veri”, per smascherare. Ignorate, leggete quanto e come vi pare (parlatene come volete, tanto si capisce benissimo quando qualcuno ha letto davvero o meno). E soprattutto divertitevi, che è una cosa che sembra mancare su questa piattaforma. Sta diventando tutto troppo mercificazione, focus sulla letteratura e su tutto il bello che ci offre.  %23booktok "
9/1/2025, 4:54:11 PM,6503,424,11,7,"📚 Libri che ho amato dalla prima all’ultima pagina! 📚Un po’ letteratura americana edition! Sono titoli molto interessanti se vi piace questo filone di letteratura, segnateveli se non li aveste già letti.  📚 Quali, invece, avete già letto? Parliamone come sempre qui sotto ⭐️ - - - %23libri %23booktok %23leggere %23consiglidilettura"
8/30/2025, 9:04:12 AM,1657,102,7,1,"📚 Ti giudico in base al tuo libro preferito! 📚 Se avete spunti sui vostri libri preferiti, scrivetemeli qui sotto. Gentilmente non mi denunciate, è spicciola ironia ❤️ - - - %23booktok %23libri %23books %23lettura %23leggere"
,
Mentions
@L,2
@bibliotecadibabele,1
@Alessandra,1
@Tunue,1
@Giulio,1
@Il,1
@Safarà,1
@Edizioni,1
@PrehistoricaLetteraturaFrances,1
@Adelphi,1
,
Hashtags
booktok,14
libri,11
leggere,10
consiglidilettura,9
booktokitalia,3
lettura,3
fyp,3
perte,2
gruppodilettura,1
troppilibri,1
effettitiktok,1
effecthouse,1
gdlclassici,1
videosuilibri,1
premionobel,1
classici,1
scambiolibri,1
booktokita,1
samuelbooks,1
letture,1
foryou,1
gdl,1
books,1
bookstagram,1
