TikTok User Statistics
Username,irechan_
9/11/2025, 1:11:00 PM,2455,150,8,9,"📌 Salva questo post se ami gli animali. Perché a volte loro riescono a capirci meglio degli esseri umani, e questi libri lo raccontano benissimo. 👉🏻 Quale aggiungeresti alla tua lista? %23booktokita %23booktokconsigli %23consiglidilettura %23consigliolibri %23libridaleggere %23libribelli   "
,
Mentions
@Neri,1
,
Hashtags
consiglidilettura,14
booktokita,12
booktokitaliano,8
libribelli,7
romanzi,6
booktiktokitalia,6
libridaleggere,5
consigliolibri,4
booktokconsigli,4
libriconsigliati,3
booktokitalia,3
letteraturagiapponese,2
gruppodilettura,1
libribooktokitalia,1
leggerelibri,1
mondadori,1
libritiktok,1
libribellissimi,1
booklovers,1
readingjournal,1
mitologia,1
letteratura,1
