TikTok User Statistics
Username,gianfrancosardinaschi
Nickname,gianfranco
Country,
Follower Count,11900
Heart Count,462500
Video Count,341
Following Count,72
Likes Rate,9.09%
Comments Rate,0.08%
Shares Rate,0.42%
Total Engagement Rate,9.59%
Earnings Min,$9.13
Earnings Max,$14.35
Average Views,26715
Average Likes,2428
Average Comments,20
Average Shares,111
,
Videos
Date,Plays,Likes,Comments,Shares,Description
9/22/2025, 1:57:32 PM,241400,20500,91,640,"Quali sono i libri che consideri “perfetti”? 👀 %23booktokitalia %23foryoupage %23booktok "
12/25/2024, 2:33:47 PM,19200,1678,50,15,"A Natale siamo tutti più buoni (anche Gianfranco) 👀❣️Uno speciale natalizio per gli auguri a modo mio🎄🫂 %23booktokitalia %23foryoupage %23booktok "
11/12/2025, 1:59:43 PM,3921,561,5,36,"La cultura sta diventando uno status symbol. Non è una novità per noi ✨intellettuali✨ ma sta diventando la normalità di tutti gli altri 👀  P.s. la voce è bassa perché altrimenti i vicini sentono tutto ✨ %23booktokitalia %23foryoupage %23booktok "
11/10/2025, 2:04:49 PM,2273,316,9,0,"Ah yes, arrampicata sugli specchi  %23booktokitalia %23foryoupage %23booktok %23filosofia "
11/8/2025, 1:59:35 PM,7722,514,7,13,"Se non altro era impossibile addormentarsi con la sua voce asmr 🙏🏻 %23booktokitalia %23foryoupage %23booktok "
11/3/2025, 2:17:34 PM,3023,304,1,2,"Un po’ me li perdo per strada, però quando guardo a quelli salvati mi dico: “Ah non ho buttato del tutto il mio tempo top”. %23booktokitalia %23foryoupage %23booktok "
10/27/2025, 1:39:51 PM,4402,408,8,12,"Céline ha cucinato con Londra 🔥📚 %23booktokitalia %23foryoupage %23booktok "
10/25/2025, 3:09:46 PM,4795,313,4,2,"Dimmi tutto 🧍🏼‍♂️ %23booktokitalia %23foryoupage %23booktok "
10/24/2025, 1:53:02 PM,4431,415,4,17,"Outfit elevato (intellettualmente) %23booktokitalia %23foryoupage %23booktok "
10/22/2025, 2:32:30 PM,3818,439,12,11,"Forse non sapevi di pensare come pensi 🙃 %23booktokitalia %23foryoupage %23booktok "
10/17/2025, 1:53:11 PM,6685,541,11,14,"Che poi la copertina del libro della Lispector emana esattamente queste vibes 💅 %23booktokitalia %23foryoupage %23booktok "
10/13/2025, 2:12:28 PM,2620,219,5,5,"Questo sono io che vi porto dietro le quinte della mia newsletter per convincervi a iscrivervi così che il mio lavoro abbia un senso ✨ %23booktokitalia %23foryoupage %23booktok %23filosofia "
10/10/2025, 2:04:15 PM,5020,441,19,8,"Perché scrivono tutti in modo incomprensibile 😭😭 %23booktokitalia %23foryoupage %23booktok "
10/6/2025, 2:01:50 PM,64700,7351,66,780,"Siamo tornati. %23booktokitalia %23foryoupage %23booktok "
,
Mentions
,
Hashtags
booktokitalia,14
booktok,14
foryoupage,14
filosofia,2
