TikTok User Statistics
Username,edoardoprati_
Nickname,Edoardo Prati
Country,
Follower Count,317400
Heart Count,5700000
Video Count,224
Following Count,990
Likes Rate,12.93%
Comments Rate,0.13%
Shares Rate,0.39%
Total Engagement Rate,13.45%
Earnings Min,$252.06
Earnings Max,$396.1
Average Views,107244
Average Likes,13870
Average Comments,141
Average Shares,420
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/13/2025, 12:42:53 PM,6936,1031,22,12,""
11/11/2025, 9:32:18 AM,123000,18500,95,333,""
10/30/2025, 11:38:22 PM,34000,3117,57,113,"“NELLA CARNE” di David Szalay "
10/28/2025, 9:00:49 PM,11400,1329,6,62,""
10/22/2025, 9:31:44 AM,87600,11900,137,530,""
10/12/2025, 11:46:26 PM,255100,24700,137,746,""
10/10/2025, 4:34:42 PM,183900,30300,213,1519,""
10/10/2025, 10:07:23 AM,32100,3141,32,67,"Edito Sellerio: la clinica riposo&pace "
10/8/2025, 8:59:08 AM,217400,35300,183,1193,"Il male di fare i video di prima mattina: Ho detto IV secolo invece di V perché pensavo ad Aristotele che scrive nel VI riguardo alla tragedia, ma la tragedia naturalmente è del V (sebbene continui a godere di fortuna anche nell'ellenismo), ma cosa ancor più grave non ho pensato che Wilhelm è TEDESCO! Mi Scuso"
10/1/2025, 3:22:45 PM,18500,1216,23,25,""
9/28/2025, 8:38:52 PM,15600,612,6,19,"La bellezza dell’Italia è pericolosissima, perché sembra sempre che ci difenda. Crediamo che le cose possano anche andare male, che il più infernale politico possa salire al trono, il più spietato beccaio possa mangiare sulle nostre teste, ma che il Colosseo sarà sempre lì, l’opera ci inviterà a libare nei lieti calici fino alla fine dei tempi, finché alla gara di sguardi tra il David e uno dei bronzi di Riace qualcuno chiuderà gli occhi e perderà. Non è così. Non siamo al sicuro. 
 All’Italia voglio bene, per questo cerco il distacco, per non sentirmi tutelato. Per permettere a me stesso di impegnarmi a non darla per scontata, per non sottovalutare i tarli che lentamente scavano la sua polpa e ne indeboliscono la struttura. Avere cura di noi, dei nostri diritti, dei nostri ideali è l’unica cosa che dobbiamo fare. Non moriremo per mancanza di bellezza, non si svelerà mai il Cristo velato, se moriremo sarà per indolenza e l’Italia non potrà farci nulla. Testo completo sull’altro social❤️"
9/19/2025, 8:35:35 AM,301400,35300,785,430,""
,
Mentions
,
Hashtags
