TikTok User Statistics
Username,persatrailibri
Nickname,Giorgia🌦️| Booktok
Country,
Follower Count,4852
Heart Count,328200
Video Count,734
Following Count,419
Likes Rate,9.37%
Comments Rate,0.15%
Shares Rate,0.14%
Total Engagement Rate,9.66%
Earnings Min,$3.72
Earnings Max,$5.85
Average Views,7647
Average Likes,716
Average Comments,11
Average Shares,10
,
Videos
Date,Plays,Likes,Comments,Shares,Description
11/10/2025, 9:13:25 PM,2588,367,17,6,"Gli ultimi sei anni della mia vita racchiusi in queste foto, ora aspetto solo di tornare a Primrose Hill 🥺 %23booktok %23booktokitalia %23sylviaplath "
3/29/2024, 9:29:56 AM,23900,2650,51,69,"spoiler : continuerò a pensare, a parlare di lei e a studiarla ancora per molto tempo, si è solo concluso un piccolo capitolo💚  Nella tesi mi sono concentrata sopratutto su cosa è successo alla sua morte alla sua eredità letteraria, al lavoro e alla manipolazione messa in atto da Ted Hughes ma ho cercato anche di andare oltre il suo ruolo di editore e di delineare le diverse sfumature della sua persona e della persona che Sylvia amava tanto. Per arrivare poi all’ultimo capitolo con il modo in cui la sua immagine è stata usurpata e di come nell’immaginario culturale si parli di lei esclusivamente in legame alla depressione e alla sua tragica fine andando ad oscurare la sua rilevanza poetica. %23booktok %23booktokitalia %23sylviaplath "
12/18/2023, 5:54:18 PM,37300,2871,53,46,"Risposta a @Ale Litart tutti i miei libri di e su sylvia plath 💗 se siete interessati a qualcosa in particolare fatemelo sapere nei commenti ma c’è una raccolta pubblica sul profilo con tutti i video passati che ho fatto su di lei %23booktok %23booktokitalia %23sylviaplath  "
8/26/2025, 6:24:35 PM,1181,84,0,0,"io impazzita appena l’ho trovato in libreria 🥺 %23booktok %23booktokitalia %23sylviaplath "
8/25/2025, 9:41:24 PM,1614,209,1,1,"dal 18/08 al 24/08 letturine lente ma tanti paesaggi bellissimi a farmi compagnia ✨ %23booktok %23booktokitalia "
8/18/2025, 5:51:57 PM,2054,212,2,1,"Settimana dall’11/08 al 17/08 ✨ %23booktok %23booktokitalia "
8/10/2025, 8:41:22 PM,2233,223,7,0,"(Settimana dal 04/08 al 10/08✨) ho portato Dalla parte di lei di Alba de Céspedes in giro per l’Abruzzo come giusto che sia visto che è ambientato anche lì oltre che a Roma 🥹"
8/5/2025, 8:16:12 AM,23500,2184,15,6,"Settimana dal 28/07 al 03/08)✨✨ %23booktok %23booktokitalia "
7/25/2025, 10:03:53 PM,1003,33,7,4,"ho la migliore amica rotta @Marzia Farris %23booktok %23booktokitalia "
7/7/2025, 10:55:08 AM,1936,205,0,1,"Settimana dal 29/06 al 06/07✨✨ %23booktok %23booktokitalia "
7/1/2025, 7:01:41 PM,3155,301,0,13,".. o forse si !!! @NEW YORKER è nel booktok palese %23booktok %23booktokitalia "
6/30/2025, 10:16:40 AM,1438,151,1,0,"(Settimana dal 23 al 29 giugno)✨ voi cosa state leggendo? %23booktok %23booktokitalia "
6/24/2025, 9:09:16 PM,1548,138,2,0,"(Settimana dal 16/06 al 22/06✨✨) %23booktok %23booktokitalia "
6/23/2025, 6:14:35 PM,3615,404,8,1,"una storia d’amore senza fine %23booktok %23booktokitalia %23sylviaplath "
,
Mentions
@Ale,1
@NEW,1
@Marzia,1
,
Hashtags
booktokitalia,13
booktok,13
sylviaplath,5
